#Table1
ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,color_gr,color_ug
44.26653365826,37.2620522008071,16.23487,14.82276,14.31257,14.12481,14.06046,0.510191,1.412112
44.2666195447993,36.8844149019014,15.9153,13.88559,13.1008,12.79614,12.6336,0.7847872,2.029716
256.904417581876,73.3404383925384,15.56333,12.79063,11.79576,11.45674,11.24468,0.994875,2.772695
347.108278448945,61.7978151563074,16.09515,14.40382,13.8921,15.00385,13.4349,0.5117254,1.691325
347.108279215402,8.55410893886446,16.17155,14.92744,14.41893,14.28914,14.25563,0.5085077,1.244108
347.108283902695,61.7978081126374,16.11288,14.40981,13.89047,15.31011,13.45302,0.5193357,1.703071
320.608232483767,13.0976848234883,16.6711,13.94242,13.567,12.44478,12.19511,0.3754244,2.728682
320.608313095173,22.3841398571866,15.52881,13.99355,13.75557,13.17993,13.07097,0.2379742,1.535259
340.005918136274,14.8464274703204,14.66776,13.19925,12.54059,12.37201,12.32227,0.6586647,1.4685
340.005958742642,29.8298312394239,15.17321,13.03878,12.27896,12.02697,11.89257,0.7598228,2.134431
340.006025658178,24.5728012611399,15.57119,13.81385,13.18425,14.17611,12.77626,0.6295958,1.757343
340.006082792038,33.2890950494434,14.30778,13.16398,12.83494,12.76039,12.75312,0.3290434,1.143796
340.00609128216,33.2890958381562,14.33306,13.12768,12.85245,13.12989,12.76783,0.2752333,1.205377
100.689675364859,9.38888751499141,16.58057,14.31874,13.28949,12.69855,12.27653,1.029248,2.261831
100.690042756031,36.3352600589907,16.2381,14.74194,14.207,13.82354,13.68873,0.5349436,1.49616
100.690082872793,45.7572939182939,16.09122,14.88513,14.48681,14.34543,14.313,0.3983164,1.206094
221.160582410945,42.1628736646788,14.32526,13.23879,12.87774,12.78493,12.81084,0.3610449,1.086473
221.160597093461,42.1628749614177,14.31684,13.1948,12.8562,12.7895,12.91841,0.3386002,1.122037
230.473804912215,38.5696307424004,16.66251,14.95192,14.36375,14.67061,14.17291,0.5881672,1.710589
230.473822093561,38.5696284012586,16.69087,14.93078,14.35722,14.20507,14.16478,0.5735598,1.760096
230.473825585178,38.5696167655056,16.66846,14.92135,14.35483,14.21274,14.15674,0.5665131,1.747119
230.473852180802,17.956652084152,16.3642,14.38361,13.59522,13.31015,13.17374,0.7883921,1.980587
230.473877566409,57.3642126655978,15.9022,14.00112,13.31405,13.06219,12.95767,0.687067,1.901079
0.348933342243299,31.8497793746899,16.21569,14.88211,14.39588,14.25933,14.19378,0.4862318,1.333584
0.348939660490288,-2.8098907177344,14.34872,13.18078,12.77604,12.64931,12.60836,0.4047318,1.16794
0.348950345731836,-2.80989810575797,14.34794,13.17454,12.7676,12.63472,12.59757,0.4069347,1.173405
0.34895791445183,31.8497655824983,16.24442,14.85851,14.38658,14.25011,14.21993,0.4719276,1.385907
0.348958140841262,31.8497616197167,16.22982,14.89023,14.34414,14.19851,14.20254,0.5460968,1.33959
0.348978463608944,35.7346660703106,15.34812,13.92747,13.34976,13.15673,13.06972,0.5777178,1.42065
0.349012268349043,35.7346682042055,15.35304,13.8847,13.50543,13.13698,13.05251,0.3792725,1.46834
0.349045649759319,35.7346604171649,15.34314,13.90239,13.32869,13.16983,13.06541,0.5736933,1.440754
115.414858273703,-0.680734194544146,16.40639,14.45291,14.38122,13.39818,13.24992,0.0716877,1.953475
115.414885260883,17.4214589405834,15.67558,14.54034,14.3393,14.31806,14.34724,0.2010384,1.135243
115.414890287615,17.421454218568,15.68278,14.54767,14.32841,14.31205,14.3498,0.2192631,1.135108
115.414894611686,17.4214508603064,15.66748,14.52483,14.31822,14.30851,14.32801,0.2066069,1.142651
115.41490218222,17.4214553984715,15.66794,14.54148,14.37924,14.3086,14.65673,0.162241,1.12646
115.414954831523,34.6960036831402,15.38532,13.64225,12.97656,12.74857,12.63481,0.6656885,1.743073
115.414959968061,34.6960042584103,15.40731,13.69275,12.98168,12.74992,12.65242,0.711071,1.714557
115.414976562763,16.4892685184019,14.74877,13.64321,13.45182,13.77478,13.44484,0.1913843,1.105565
